street_marker,vioTime,depTime
12471S,1086,1110
13332E,1086,1110
1920N,1087,1110
12045W,1087,1110
5058E,1087,1107
13743W,1088,1110
11895W,1088,1110
59W,1089,1102
C268,1090,1145
334E,1090,1097
812E,1090,1097
C7142,1090,1095
1916N,1090,1110
C592,1091,1214
3400N,1091,1122
13576E,1091,1110
6592N,1092,1101
4860E,1093,1100
13304N,1093,1110
C260,1093,1127
5145W,1094,1110
12450N,1094,1110
12437S,1094,1110
13578E,1094,1110
10198E,1095,1109
13669W,1095,1110
C7682,1096,1104
C13600,1096,1110
2510N,1097,1170
C8056,1097,1110
12483S,1097,1108
C13504,1097,1110
10032N,1098,1112
7595S,1098,1110
13484E,1099,1110
13774E,1099,1110
7041S,1099,1119
6614N,1099,1170
7644N,1100,1106
6625S,1101,1117
13632E,1101,1120
779W,1102,1164
10121W,1102,1110
C9166,1102,1110
13912E,1102,1110
2563S,1102,1110
13853S,1102,1110
13683W,1103,1110
7646N,1103,1110
C272,1104,1131
13864N,1104,1110
771W,1104,1111
5259W,1105,1154
816E,1105,1125
13622E,1105,1152
C348,1111,1170
C1206,1111,1170
13634E,1113,1125
C264,1113,1119
C2794,1113,1136
1858N,1114,1119
13422E,1114,1126
C152,1117,1200
962E,1117,1150
2553S,1118,1170
C1132,1119,1170
13318E,1119,1203
C208,1120,1170
1975S,1120,1125
C2944,1121,1165
2508N,1122,1170
C818,1122,1170
13632E,1122,1160
C798,1124,1134
4373W,1124,1170
13352E,1125,1191
791W,1126,1144
775W,1128,1170
C828,1128,1170
8808E,1129,1170
13725W,1130,1273
3940N,1131,1143
C2796,1131,1230
C128,1133,1150
1973S,1134,1157
C2838,1134,1155
13213S,1134,1144
C2860,1135,1179
C700,1135,1170
787W,1136,1170
2853S,1137,1170
5990N,1137,1170
C6670,1137,1198
13758E,1138,1206
13624E,1138,1158
8649W,1139,1145
13723W,1139,1158
13760E,1139,1178
9296N,1140,1260
C124,1140,1151
13416E,1141,1158
C790,1141,1157
6525S,1142,1149
C826,1143,1170
2843S,1144,1170
C244,1144,1170
C1152,1144,1170
961W,1144,1155
1847S,1144,1170
C822,1145,1170
909W,1145,1170
13426E,1147,1253
6531S,1148,1170
C240,1148,1170
682E,1148,1170
C806,1149,1170
C830,1150,1170
690E,1151,1170
795W,1152,1170
C1123,1152,1170
9294N,1153,1254
2851S,1153,1170
694E,1154,1170
2849S,1154,1170
2857S,1154,1170
C308,1154,1170
2551S,1155,1170
13911W,1156,1197
C412,1157,1170
8651W,1157,1187
C496,1158,1230
6517S,1158,1170
C674,1158,1170
C1156,1158,1164
2861S,1159,1168
2795S,1159,1170
3317S,1159,1224
C1115,1160,1170
C782,1160,1170
C224,1160,1170
C1258,1161,1202
2845S,1162,1170
C236,1162,1170
686E,1162,1170
C256,1163,1170
13223S,1163,1170
C526,1163,1230
C404,1164,1170
907W,1164,1170
4574E,1165,1230
10007S,1165,1228
771W,1165,1172
1707S,1165,1182
C2748,1167,1174
8649W,1168,1192
53W,1168,1230
13416E,1170,1178
C6628,1171,1178
C2866,1173,1230
C552,1181,1193
1861S,1186,1228
4559W,1187,1233
13723W,1191,1260
8885W,1195,1230
C522,1201,1230
3388N,1201,1209
C544,1202,1219
76E,1203,1212
10001S,1203,1226
C600,1204,1230
C2720,1205,1230
C488,1205,1230
C2728,1206,1230
6254N,1207,1230
C2654,1208,1230
55W,1209,1230
1773S,1211,1233
9292N,1215,1260
4588E,1217,1230
C616,1217,1230
C576,1217,1230
C6636,1218,1230
482E,1218,1230
C2790,1218,1230
69W,1218,1230
C638,1219,1230
C2774,1219,1230
C7004,1220,1230
5246E,1228,1236
C13584,1230,1269
C13588,1230,1264
C13580,1230,1350
8651W,1241,1282
8649W,1241,1348
13320E,1244,1256
13420E,1255,1283
13418E,1262,1269
C13568,1264,1270
1863S,1265,1380
13760E,1266,1412
13416E,1266,1295
8345W,1271,1309
13418E,1279,1289
771W,1288,1320
13428E,1300,1320
13725W,1307,1314
8651W,1309,1324
3433S,1325,1391
11523S,1336,1380
771W,1341,1376
13725W,1342,1407
8871W,1350,1380
8651W,1400,1439
