st_marker_id,lat,lon,area,street_id,area_cat,st_marker_id_cat
13767W,-37.81242058878527,144.93862103867127,Docklands,1398.0,6,1046
1215W,-37.81237282273516,144.95937304974785,Titles,1171.0,29,319
5329W,-37.81084570995648,144.9558703069698,Mint,1428.0,18,2297
5180E,-37.81119449775253,144.957505390307,Mint,1433.0,18,2227
12003W,-37.81360134858862,144.98289151446258,East Melbourne,511.0,8,267
10036N,-37.82321938326506,144.96663581087876,Southbank,1278.0,24,15
6043S,-37.81063834312023,144.95629833227468,Mint,5.0,18,2447
6031S,-37.81049602483758,144.95678270598654,Mint,5.0,18,2439
6037S,-37.81058146359271,144.9564929243906,Mint,5.0,18,2444
C1234,-37.812225392250056,144.95943004474938,Titles,1171.0,29,3246
9292N,-37.82907502979826,144.96956775385016,Southbank,547.0,24,2961
5160E,-37.80268081676236,144.9569236845853,Courtney,1062.0,4,2223
1228E,-37.8122279003903,144.95955850622954,Titles,1171.0,29,380
11897W,-37.81026413164536,144.9781294721275,Jolimont,869.0,12,222
5335W,-37.8106926672988,144.9557997447494,Mint,1428.0,18,2300
12025W,-37.813032957667545,144.98298944856776,East Melbourne,511.0,8,278
2818N,-37.81034688352053,144.96853423255658,Princes Theatre,894.0,19,1644
9445S,-37.83023599891012,144.96599699646083,Southbank,547.0,24,3020
13584E,-37.81986336314701,144.94274497835738,Docklands,558.0,6,910
C2648,-37.80959173026294,144.97144739203077,Princes Theatre,894.0,19,3372
2698N,-37.8097954534028,144.97041322072164,Princes Theatre,894.0,19,1638
13785W,-37.813227585593545,144.94073826784955,Docklands,1228.0,6,1062
2892N,-37.81061209153864,144.96763157229913,Princes Theatre,894.0,19,1669
12328N,-37.80982658778716,144.97889542467027,East Melbourne,16.0,8,400
12402N,-37.81074692454287,144.9765884113355,Jolimont,178.0,12,460
11746E,-37.81025046161003,144.97566700300655,Jolimont,706.0,12,138
C6172,-37.803784894901206,144.95250548757656,Queensberry,192.0,20,3826
9897S,-37.8256468273942,144.96867196304143,Southbank,728.0,24,3111
12274N,-37.80965039792352,144.9772877225983,Jolimont,16.0,12,366
12288N,-37.80970041365944,144.97775479011744,Jolimont,16.0,12,378
11896E,-37.81017858516488,144.97838466910338,Jolimont,869.0,12,221
C6380,-37.8040088660976,144.95095945647938,Queensberry,881.0,20,3857
13602E,-37.820413467535296,144.9440488765303,Docklands,998.0,6,915
13651W,-37.82036941672416,144.94540594698154,Docklands,697.0,6,960
5468E,-37.80737098472135,144.95453036410137,Queensberry,1428.0,20,2328
11923W,-37.81577767382841,144.98252005915342,East Melbourne,511.0,8,227
1295W,-37.81845605450276,144.95935770486005,Tavistock,1428.0,27,615
9417S,-37.83008922443051,144.9665042371874,Southbank,547.0,24,3006
